0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.25269565,-0.93628377,0.38802037,0.48034713,0.78535694,-0.45604542,0.907543,-1.202062,-1.62559,1.5008652,-1.1215336,-0.52906674,-0.15049934,1.1643916,0.3879385,-1.5044755
0.3638317,-1.784733,-0.23171368,0.21145019,-0.47406402,-0.95227516,-0.32274464,0.10528185,0.8648663,1.5843271,-0.20843269,-1.027956,1.9721357,-0.20131278,0.8512803,-1.4023025
1.9152025,0.6564342,0.5734679,0.1376756,2.0153139,0.8584806,-0.025276776,-0.5984471,-1.026176,-0.24698195,1.0977782,-0.46639016,-0.45812252,-0.733677,-1.1662371,-2.5964458
-0.6302828,1.2965022,-0.7493447,0.13685858,0.9045116,-0.9557357,0.3558807,1.9582843,0.42716268,-1.2622231,0.5064921,0.09123199,-0.05816735,0.0052091624,-1.8005813,-0.7826545
1.0727632,-1.2720194,-1.6880491,-0.82262284,2.0409932,-0.65688986,-0.24776547,-0.28729296,1.3545871,0.20165053,0.40870997,0.27141947,0.9113674,-0.37943557,1.0065763,0.89436555
-1.9933293,-0.25161344,-1.8150252,1.3556854,-0.8682861,-0.18642029,0.7032714,0.16113736,1.567497,1.3192673,-0.6701971,0.8871734,-0.030217828,1.6952225,0.033937328,-0.8725682
0.77468616,-0.2247298,0.72847015,0.92767996,0.17646122,0.75121474,-0.22280544,2.0089326,0.11780001,-0.6582853,0.46463472,0.8287114,1.9162781,-1.0959367,-0.14038692,1.6563295
-0.8712849,-0.62675,-0.42701694,0.37236083,-0.7217624,-0.39142033,-1.7743965,0.8428644,0.008634696,1.1519136,0.6378635,-0.30527025,0.5826989,-1.4771018,-1.9766966,-1.1132324
0.21118954,-0.72288287,0.30138943,1.7455776,0.4105143,-0.77759683,2.0445156,0.87560785,0.5481397,0.5961999,-1.4330844,0.21869244,0.6966286,-0.9654502,0.93755925,-1.9726818
-0.084484145,1.096127,-0.77992797,1.1426307,-2.0157344,-1.6230688,-0.5695052,-0.35740635,-0.11118038,-1.1463555,-1.1693587,0.27154708,-0.044140633,-0.9177382,1.4813398,0.08194328
-0.43451914,-1.2748574,0.8621948,1.6967907,-0.7171783,0.98861086,1.7749212,0.7227332,0.38359487,0.8584775,-0.3353047,2.0051894,-0.9476602,0.4759701,1.4155997,-0.99676925
-0.29650438,0.97390276,-1.4304974,-1.1869873,-0.17220145,-0.11744518,1.2100685,0.18045193,0.8979817,-0.35977158,-1.0024434,2.2066681,-0.56670016,0.31374472,-0.76685643,0.91557777
1.4854431,0.8013471,0.1553541,0.21793628,0.83386135,-0.08655055,-0.25605953,1.9935952,-0.5842241,-0.7304924,-0.5021776,1.6834992,0.11123888,-1.724118,0.70874274,-1.033251
0.52784014,1.2566525,1.6229122,0.92693806,0.21410267,0.6402235,1.1137395,0.75877887,1.7630223,-0.050879013,0.92668563,-0.12913324,1.5383525,-0.52470523,-0.22313252,0.058894813
1.3574202,-0.38422668,0.4147154,-0.6065048,-0.4108229,-1.5103834,-0.58229154,0.32711154,0.89630616,-1.4976474,-0.49736625,-0.08757556,-0.8016607,0.56967926,1.7168332,-0.28833693
1.1290494,-0.37972376,0.6302145,1.262088,1.8250864,-0.2535573,1.2227184,-1.3281132,-1.1435248,1.1337848,-0.4384991,0.23703443,-0.82702124,-0.5174781,-0.51660615,-1.794288
-0.6211333,0.14735486,-0.6369379,-0.08861448,-0.3643054,1.1057793,2.3854642,1.0854955,-0.5935733,-0.21823819,-1.0699432,-0.72338796,-0.14109728,-0.7992638,0.066682376,-2.3753483
-0.5666011,-0.41592932,-0.08198605,-0.31110683,-1.0456915,1.2996503,1.3128692,0.56280804,0.21210293,-0.7266046,-0.69751436,-0.7339474,-0.19771408,-0.25930408,1.6219149,-2.505823
0.34490055,0.17828037,-0.4350095,-0.58089787,2.4246395,0.30029732,0.7228656,1.0478529,0.3632297,-1.0136482,0.06216579,1.2866353,-1.6287643,0.14241664,-0.85530597,0.999142
-0.036404513,-0.36383298,0.76402754,-0.4125696,0.46589357,-0.3757334,1.6108056,0.77261686,0.18313344,0.15292038,0.44185793,-1.2830966,-2.4688356,-1.2114859,-1.521008,-0.21486211
-1.0385195,0.6051079,-0.4410355,1.0001111,-0.9029976,-1.606084,0.34280068,-0.62200874,0.97684604,-0.82758,0.28813636,0.81852597,-1.2344474,-0.8279248,0.9131424,-1.2704266
-0.57517934,-1.4654486,0.8652742,1.6739773,-0.02489883,-0.6112243,-0.74695736,0.94297546,1.1804211,-0.4115901,-0.4471886,1.3844305,0.5351633,0.85255206,-0.1816954,-1.9076009
0.08058918,-0.546331,1.674608,-1.371487,-0.67675936,-1.6306354,0.92479825,0.38707134,0.6136958,-0.8644748,0.07521043,-0.92591476,-0.4618362,-1.3519844,0.5791731,1.0526782
-1.0842079,1.1660436,0.51443624,1.7142745,-1.8777337,0.16924752,0.2754666,0.20703702,-0.035083726,0.6330667,-0.26955307,1.0332154,0.6250573,-1.3826224,-1.8198533,0.21487457
-0.22766542,0.08694779,-1.5913172,-0.10146317,1.2046797,-0.6409011,-0.54366165,0.8438406,-0.8060682,-1.4918922,-0.17733574,0.94090676,0.85455686,-0.19585797,1.0888904,1.5455917
-0.007544227,-0.64549,0.55205655,-0.10642995,0.6582132,-0.33569044,-0.10689119,0.17111476,-0.76139873,1.1751697,0.6579326,1.5337367,-1.7319388,-1.4273849,1.3615804,2.1920884
-1.1687526,-0.6114842,0.8038153,0.4476495,2.220709,-1.0500375,0.5748844,1.0522276,1.9156938,0.7240977,0.36780697,-0.20121223,0.24501584,1.4027117,1.1851864,1.3206562
0.622226,1.5584004,0.27955452,1.1959325,3.4055152,0.88120437,0.57678515,-0.7731308,0.7338217,0.4117575,-1.0011283,-1.3787203,-0.4873375,1.1980466,1.7263154,-1.4654711
-0.28781113,0.16495077,-0.75625956,-0.7016255,-0.731156,0.88584363,1.6552379,0.37593672,-0.37072724,0.45819545,-0.7101796,-0.5189425,-0.8402304,-1.3469005,0.63605917,-2.2871532
-0.23476419,-1.5790809,0.47996333,0.76132405,1.4812365,0.30023327,-1.9762393,0.49077076,-0.2790499,0.9700276,1.2444481,-0.89765096,-0.32361835,-0.8758057,0.5117257,-1.8305068
0.23815022,0.67157114,0.25108373,0.057266466,1.2192572,-0.12405501,1.2916924,0.31364116,0.75440145,-0.90878403,1.0949428,-0.3900388,0.22229208,-2.3506083,0.99735105,2.4820316
-0.23319367,0.38579234,-0.7678977,0.011133729,-1.207975,-1.4200728,-0.9667575,0.44815063,1.6591556,1.200938,1.027106,1.3291337,1.2791073,-1.0409977,0.4173834,0.2005132
-0.50112945,1.2170076,-0.8292482,1.5414499,0.7197901,0.8397012,1.3392881,-0.8007837,-0.23379573,1.6790123,0.4610594,-0.11622389,0.35556608,1.3391967,-0.59549916,-1.3546146
0.5905541,0.44041485,-0.40207824,-0.8590881,2.2358177,1.1831096,-0.26146054,1.6938955,0.8895204,-0.37384662,-0.642261,0.9666318,0.81092864,-0.25079226,1.4502121,0.076859035
0.06894187,-0.7018715,-1.1115547,0.082841694,1.7622573,-0.7627883,-0.8960352,-0.8850836,0.8875944,-0.40450883,-0.23185006,-0.097510956,0.6421868,-0.7872863,1.6792525,1.2863911
-0.08995888,0.084990464,0.38769373,1.5132579,-0.25490904,0.49541384,-0.4459066,0.88555014,-1.7651892,1.2839514,0.36834502,0.96034604,1.1882389,0.7245619,1.9217553,-0.6787516
-0.52045274,-1.1904339,0.9113716,0.27124733,1.4558083,0.02227054,0.9674928,0.8419844,-0.5198078,0.47056174,0.8033501,-0.49290648,-2.1983078,-1.1306117,-1.7064228,0.16858302
-0.43840337,-0.7295941,1.0055382,-0.26475495,2.4121,-0.56692845,0.39591458,0.68110436,1.6584517,0.6751765,0.014687561,0.7446835,-0.3650971,1.5734751,0.35946727,1.1618482
-0.49039957,-0.16830878,-1.3922112,-0.33711594,2.2890925,-0.008175457,-0.21695091,0.7594534,-0.13553138,-1.667669,1.2669349,-0.50361,-1.4156328,-1.420262,1.176,1.1378785
0.3358748,-0.14444631,0.8527149,1.349561,-0.19327427,0.7687619,0.6523974,0.5616851,1.9837075,0.6953289,-0.070534475,-1.3281987,0.66476464,-0.40393752,0.8841145,1.5857348
-1.0226688,-0.88256884,-0.7318454,0.22844072,-0.015066004,0.8330836,0.83409613,-0.9320333,-0.3631663,0.7494754,1.0723311,0.5339004,-1.2578638,-0.34204814,-1.5130678,1.6538757
