0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.22457793,0.20148884,-0.26330236,0.27839884,-0.07835602,-0.22327194,-0.059942655,0.046068028,-0.17553587,0.11044435,0.09163948,-0.21595152,0.33149803,-0.022317305,-0.14704192,-0.28985554
-0.23595051,0.22300276,-0.28175974,0.2735247,-0.07917452,-0.2114269,-0.08358249,0.042497393,-0.17365773,0.13487978,0.06991568,-0.2555004,0.318701,-0.039627716,-0.180989,-0.25781688
-0.22669648,0.24871776,-0.27015188,0.2730134,-0.051218417,-0.19799411,-0.07994196,0.035103954,-0.1732793,0.1563497,0.04134396,-0.26430094,0.28780615,-0.048097465,-0.18818764,-0.23320647
-0.2268202,0.2491275,-0.26912498,0.27155277,-0.052191954,-0.19614021,-0.079772085,0.036870882,-0.16916598,0.15739481,0.03878171,-0.26238334,0.28420287,-0.050384473,-0.18581778,-0.23323064
-0.22718397,0.24871984,-0.27083373,0.27139142,-0.05416617,-0.1991465,-0.07849958,0.0360283,-0.17332348,0.15842038,0.0399456,-0.2660135,0.2871463,-0.04962992,-0.18826568,-0.23002358
-0.22596467,0.24665026,-0.27006096,0.2716935,-0.056082286,-0.19807546,-0.081404395,0.03717185,-0.17378491,0.15579945,0.04296399,-0.26406974,0.2875842,-0.04570547,-0.18822989,-0.22998273
-0.2205408,0.24820673,-0.25303686,0.26314038,-0.05399124,-0.18308781,-0.07535276,0.046390284,-0.1771022,0.152299,0.0385374,-0.2620105,0.27053976,-0.041474108,-0.20065416,-0.21185905
-0.22487919,0.24769029,-0.26884797,0.27030542,-0.05202841,-0.19800739,-0.08066716,0.03367605,-0.17149232,0.15838175,0.036528792,-0.2645178,0.28478453,-0.049972974,-0.18789896,-0.22878318
-0.22450224,0.24706273,-0.26862648,0.27033857,-0.051277827,-0.19701889,-0.080355786,0.03325788,-0.16930214,0.15880662,0.0358168,-0.26335552,0.28290132,-0.051296633,-0.18510845,-0.22746164
0.03956878,-0.15318589,-0.20190765,0.11440305,0.15345748,-0.20313141,-0.13802844,-0.24769253,0.29097784,0.31899253,-0.2638717,-0.06653999,0.15484695,-0.18643436,0.352907,-0.14143214
0.04225794,-0.1582484,-0.20254555,0.11526642,0.1579896,-0.20174287,-0.13849549,-0.25364304,0.2975797,0.32018366,-0.26730743,-0.06559691,0.15214297,-0.18943867,0.36106932,-0.13940896
0.04297735,-0.15990119,-0.20208165,0.11777435,0.1564038,-0.2040138,-0.13981107,-0.25452682,0.29897168,0.32076794,-0.26822847,-0.06388846,0.15278496,-0.19121452,0.36245248,-0.13979772
0.041080814,-0.15712044,-0.20245653,0.11627177,0.1570748,-0.20338084,-0.13903724,-0.25349203,0.29591504,0.32010219,-0.26625282,-0.063549265,0.15155268,-0.18913415,0.36043245,-0.13815436
0.09228888,0.1696003,0.24474274,-0.12371052,0.09485948,0.24471797,0.17287123,0.14406072,-0.2373087,-0.1934644,0.045372147,0.12608409,-0.22517675,0.119646646,-0.06444225,0.21501966
-0.08874452,0.27297285,-0.1080872,0.16918235,0.003926724,-0.026842814,0.017023789,0.12231863,-0.1983122,0.0180257,0.009625849,-0.12844662,0.09832858,-0.00061080925,-0.19391695,-0.012229585
0.12322096,0.1666566,0.2781838,-0.15655793,0.094359346,0.29535747,0.1995357,0.1648629,-0.23873378,-0.23114689,0.05807973,0.16228501,-0.2740761,0.14048603,-0.058978595,0.2639522
0.12598519,0.17000194,0.28020617,-0.15647677,0.09967834,0.29092196,0.19934314,0.16088086,-0.23919772,-0.22488703,0.051950697,0.15768848,-0.26968887,0.13462369,-0.049899954,0.26005238
0.13439679,0.16863985,0.29027224,-0.1690118,0.102684975,0.29938737,0.20771341,0.16013618,-0.24432924,-0.23673177,0.0557688,0.16906884,-0.279494,0.14183667,-0.0488343,0.26899353
0.13815239,0.1640355,0.29235914,-0.16807684,0.10370869,0.29878733,0.20755301,0.16005696,-0.24128674,-0.23690209,0.05867933,0.17098518,-0.27896267,0.14513291,-0.047755167,0.26218
0.13437894,0.16262378,0.29026002,-0.1694593,0.096915156,0.300879,0.20635897,0.16109903,-0.2396637,-0.23838535,0.05806512,0.16986151,-0.2790668,0.14305218,-0.04846175,0.26747546
0.13275845,0.15991539,0.28907982,-0.16834313,0.09659495,0.29949751,0.20548406,0.16173306,-0.23891975,-0.23801208,0.058724985,0.17083147,-0.2799879,0.14393267,-0.051526487,0.2677681
0.31609714,-0.0033540768,0.32453403,-0.116566725,0.25258344,0.23526436,0.15535745,0.07579387,-0.19914329,-0.25184903,0.1290322,0.24468723,-0.2506921,0.24989948,-0.00016656896,0.006846618
0.31677827,-0.0055294507,0.32365236,-0.11645955,0.25150847,0.23471196,0.15451305,0.07355601,-0.19706756,-0.25181797,0.13089128,0.24417377,-0.25086126,0.25127771,-0.00014562812,0.0050768033
0.31646132,-0.004806392,0.32450724,-0.116732754,0.25117427,0.23485966,0.15469593,0.07459343,-0.19716619,-0.25146848,0.12966903,0.24377856,-0.25132397,0.2508943,-0.000656077,0.0060094283
